Year,Country,Month,Tourist_Arrival,Date,Quarter,Season,Region
2018,United Arab Emirates,2,247,2018-02-01,1,Maha Season,Asia
2018,Iran,2,439,2018-02-01,1,Maha Season,Asia
2018,Lebanon,2,542,2018-02-01,1,Maha Season,Asia
2018,Indonesia,2,350,2018-02-01,1,Maha Season,Asia
2018,Nepal,2,401,2018-02-01,1,Maha Season,Asia
2018,Slovakia,2,820,2018-02-01,1,Maha Season,Europe
2018,Belarus,2,942,2018-02-01,1,Maha Season,Europe
2018,Hungary,2,870,2018-02-01,1,Maha Season,Europe
2018,Turkey,2,632,2018-02-01,1,Maha Season,Asia
2018,Slovenia,2,754,2018-02-01,1,Maha Season,Europe
2018,Egypt,2,281,2018-02-01,1,Maha Season,Africa
2018,Kuwait,2,403,2018-02-01,1,Maha Season,Asia
2018,Lithuania,2,570,2018-02-01,1,Maha Season,Europe
2018,Myanmar,2,123,2018-02-01,1,Maha Season,Asia
2018,Vietnam,2,380,2018-02-01,1,Maha Season,Asia
2018,Jordan,2,254,2018-02-01,1,Maha Season,Asia
2018,Bahrain,2,147,2018-02-01,1,Maha Season,Asia
2018,Brazil,2,156,2018-02-01,1,Maha Season,South America
2018,Estonia,2,586,2018-02-01,1,Maha Season,Europe
2018,Kazakhstan,2,407,2018-02-01,1,Maha Season,Asia
2018,Bulgaria,2,381,2018-02-01,1,Maha Season,Europe
2018,Croatia,2,276,2018-02-01,1,Maha Season,Europe
2018,Latvia,2,219,2018-02-01,1,Maha Season,Europe
2018,Argentina,2,254,2018-02-01,1,Maha Season,South America
2018,Serbia,2,282,2018-02-01,1,Maha Season,Europe
2018,Qatar,2,75,2018-02-01,1,Maha Season,Asia
2018,Mexico,2,87,2018-02-01,1,Maha Season,North America
2018,Yemen,2,69,2018-02-01,1,Maha Season,Asia
2018,Armenia,2,87,2018-02-01,1,Maha Season,Asia
2018,Palestinian Territories,2,65,2018-02-01,1,Maha Season,Asia
2018,Morocco,2,101,2018-02-01,1,Maha Season,Africa
2018,Iraq,2,157,2018-02-01,1,Maha Season,Asia
2018,Chile,2,104,2018-02-01,1,Maha Season,South America
2018,Kenya,2,35,2018-02-01,1,Maha Season,Africa
2018,Luxembourg,2,77,2018-02-01,1,Maha Season,Europe
2018,Afghanistan,2,150,2018-02-01,1,Maha Season,Asia
2018,Sudan,2,49,2018-02-01,1,Maha Season,Africa
2018,Cambodia,2,85,2018-02-01,1,Maha Season,Asia
2018,Mauritius,2,100,2018-02-01,1,Maha Season,Africa
2018,Tunisia,2,62,2018-02-01,1,Maha Season,Africa
2018,Colombia,2,59,2018-02-01,1,Maha Season,South America
2018,Georgia,2,82,2018-02-01,1,Maha Season,Asia
2018,Bhutan,2,72,2018-02-01,1,Maha Season,Asia
2018,Cyprus,2,53,2018-02-01,1,Maha Season,Asia
2018,Uzbekistan,2,88,2018-02-01,1,Maha Season,Asia
2018,Azerbaijan,2,30,2018-02-01,1,Maha Season,Asia
2018,Malta,2,35,2018-02-01,1,Maha Season,Europe
2018,Kyrgyzstan,2,46,2018-02-01,1,Maha Season,Asia
2018,Moldova,2,56,2018-02-01,1,Maha Season,Europe
2018,Iceland,2,63,2018-02-01,1,Maha Season,Europe
2018,Seychelles,2,0,2018-02-01,1,Maha Season,Africa
2018,Nigeria,2,38,2018-02-01,1,Maha Season,Africa
2018,Algeria,2,35,2018-02-01,1,Maha Season,Africa
2018,North Macedonia,2,34,2018-02-01,1,Maha Season,Europe
2018,Peru,2,50,2018-02-01,1,Maha Season,South America
2018,Bosnia and Herzegovina,2,45,2018-02-01,1,Maha Season,Europe
2018,Zimbabwe,2,19,2018-02-01,1,Maha Season,Africa
2018,Montenegro,2,21,2018-02-01,1,Maha Season,Europe
2018,Tanzania,2,20,2018-02-01,1,Maha Season,Africa
2018,Venezuela,2,18,2018-02-01,1,Maha Season,South America
2018,Syria,2,8,2018-02-01,1,Maha Season,Asia
2018,Ethiopia,2,19,2018-02-01,1,Maha Season,Africa
2018,Comoros,2,5,2018-02-01,1,Maha Season,Africa
2018,Mongolia,2,9,2018-02-01,1,Maha Season,Asia
2018,Albania,2,15,2018-02-01,1,Maha Season,Europe
2018,Fiji,2,5,2018-02-01,1,Maha Season,Oceania
2018,Laos,2,7,2018-02-01,1,Maha Season,Asia
2018,Ecuador,2,15,2018-02-01,1,Maha Season,South America
2018,Uganda,2,22,2018-02-01,1,Maha Season,Africa
2018,Costa Rica,2,20,2018-02-01,1,Maha Season,Central America
2018,Ghana,2,6,2018-02-01,1,Maha Season,Africa
2018,Liechtenstein,2,10,2018-02-01,1,Maha Season,Europe
2018,Uruguay,2,3,2018-02-01,1,Maha Season,South America
2018,Zambia,2,7,2018-02-01,1,Maha Season,Africa
2018,Trinidad and Tobago,2,9,2018-02-01,1,Maha Season,Caribbean
2018,Jamaica,2,7,2018-02-01,1,Maha Season,Caribbean
2018,Tajikistan,2,7,2018-02-01,1,Maha Season,Asia
2018,Libya,2,8,2018-02-01,1,Maha Season,Africa
2018,Madagascar,2,6,2018-02-01,1,Maha Season,Africa
2018,Somalia,2,6,2018-02-01,1,Maha Season,Africa
2018,Brunei,2,3,2018-02-01,1,Maha Season,Asia
2018,Papua New Guinea,2,0,2018-02-01,1,Maha Season,Oceania
2018,Bolivia,2,5,2018-02-01,1,Maha Season,South America
2018,Turkmenistan,2,9,2018-02-01,1,Maha Season,Asia
2018,Eritrea,2,12,2018-02-01,1,Maha Season,Africa
2018,Namibia,2,3,2018-02-01,1,Maha Season,Africa
2018,Monaco,2,7,2018-02-01,1,Maha Season,Europe
2018,Guatemala,2,4,2018-02-01,1,Maha Season,Central America
2018,Panama,2,7,2018-02-01,1,Maha Season,Central America
2018,Andorra,2,6,2018-02-01,1,Maha Season,Europe
2018,Cuba,2,2,2018-02-01,1,Maha Season,Caribbean
2018,Mozambique,2,24,2018-02-01,1,Maha Season,Africa
2018,Dominica,2,9,2018-02-01,1,Maha Season,Caribbean
2018,Honduras,2,3,2018-02-01,1,Maha Season,Central America
2018,Bahamas,2,4,2018-02-01,1,Maha Season,Caribbean
2018,Botswana,2,4,2018-02-01,1,Maha Season,Africa
2018,Timor-Leste,2,3,2018-02-01,1,Maha Season,Asia
2018,El Salvador,2,3,2018-02-01,1,Maha Season,Central America
2018,Saint Kitts and Nevis,2,3,2018-02-01,1,Maha Season,Caribbean
2018,Dominican Republic,2,1,2018-02-01,1,Maha Season,Caribbean
2018,Senegal,2,6,2018-02-01,1,Maha Season,Africa
2018,Malawi,2,1,2018-02-01,1,Maha Season,Africa
2018,Congo,2,2,2018-02-01,1,Maha Season,Africa
2018,Kosovo,2,3,2018-02-01,1,Maha Season,Europe
2018,Nicaragua,2,0,2018-02-01,1,Maha Season,Central America
2018,San Marino,2,16,2018-02-01,1,Maha Season,Europe
2018,Suriname,2,3,2018-02-01,1,Maha Season,South America
2018,Hong Kong,2,4,2018-02-01,1,Maha Season,Asia
2018,Cameroon,2,0,2018-02-01,1,Maha Season,Africa
2018,Guyana,2,2,2018-02-01,1,Maha Season,South America
2018,Paraguay,2,0,2018-02-01,1,Maha Season,South America
2018,Antigua and Barbuda,2,5,2018-02-01,1,Maha Season,Caribbean
2018,Ivory Coast,2,3,2018-02-01,1,Maha Season,Africa
2018,Burkina Faso,2,1,2018-02-01,1,Maha Season,Africa
2018,Sierra Leone,2,1,2018-02-01,1,Maha Season,Africa
